ID_TIPO_DOCUMENTO,ID_SEXO_BIOLOGICO,FECHA_NACIMIENTO,ID_PAIS,ID_MUNICIPIO,PERIODO
TI,F,07/28/2003 12:00:00 AM,170,76834,20202
CC,F,01/07/2003 12:00:00 AM,170,76834,20202
CC,M,02/23/2003 12:00:00 AM,170,76834,20202
CC,F,08/23/2001 12:00:00 AM,170,76834,20202
CC,M,01/13/2002 12:00:00 AM,170,76834,20202
CC,M,09/26/2001 12:00:00 AM,170,76834,20202
CC,F,03/11/2003 12:00:00 AM,170,76834,20202
CC,F,11/13/2002 12:00:00 AM,170,76834,20202
CC,M,12/06/2002 12:00:00 AM,170,76834,20202
TI,M,05/15/2001 12:00:00 AM,170,76036,20202
TI,F,09/01/2003 12:00:00 AM,170,76834,20202
TI,F,08/24/2003 12:00:00 AM,170,76834,20202
CC,F,06/21/2002 12:00:00 AM,170,76834,20202
CC,M,08/23/2002 12:00:00 AM,170,76834,20202
CC,M,07/16/2002 12:00:00 AM,170,76834,20202
CC,F,04/15/2002 12:00:00 AM,170,76834,20202
CC,F,04/12/2002 12:00:00 AM,170,76834,20202
CC,M,03/02/2002 12:00:00 AM,170,76834,20202
CC,F,11/14/2002 12:00:00 AM,170,76834,20202
CC,M,01/14/2003 12:00:00 AM,170,76834,20202
CC,F,03/20/2003 12:00:00 AM,170,76834,20202
CC,M,12/28/2002 12:00:00 AM,170,76834,20202
CC,F,09/13/2002 12:00:00 AM,170,76834,20202
CC,F,04/15/2003 12:00:00 AM,170,76834,20202
CC,F,02/04/2003 12:00:00 AM,170,76834,20202
CC,M,02/26/2003 12:00:00 AM,170,76834,20202
CC,M,04/16/2003 12:00:00 AM,170,76834,20202
CC,F,04/03/2003 12:00:00 AM,170,76834,20202
CC,M,04/14/2003 12:00:00 AM,170,76834,20202
TI,F,06/03/2003 12:00:00 AM,170,76834,20202
TI,M,07/20/2003 12:00:00 AM,170,76834,20202
CC,F,04/15/2003 12:00:00 AM,170,76834,20202
CC,F,04/15/2003 12:00:00 AM,170,76834,20202
TI,M,09/01/2003 12:00:00 AM,170,76834,20202
TI,M,09/30/2003 12:00:00 AM,170,76834,20202
TI,F,09/23/2003 12:00:00 AM,170,76834,20202
TI,M,08/05/2003 12:00:00 AM,170,76834,20202
TI,F,09/13/2003 12:00:00 AM,170,76834,20202
TI,M,09/06/2003 12:00:00 AM,170,76834,20202
TI,M,10/23/2003 12:00:00 AM,170,76834,20202
TI,F,11/02/2003 12:00:00 AM,170,76834,20202
CC,M,05/29/2001 12:00:00 AM,170,76834,20202
CC,F,07/04/2001 12:00:00 AM,170,76834,20202
TI,F,06/20/2003 12:00:00 AM,170,76834,20202
TI,F,06/25/2003 12:00:00 AM,170,76834,20202
CC,F,10/29/2001 12:00:00 AM,170,76834,20202
CC,F,10/30/2001 12:00:00 AM,170,76834,20202
CC,F,04/17/2001 12:00:00 AM,170,76834,20202
CC,M,04/20/2001 12:00:00 AM,170,76834,20202
TI,M,08/19/2003 12:00:00 AM,170,76834,20202
TI,F,07/30/2003 12:00:00 AM,170,76834,20202
TI,F,08/12/2003 12:00:00 AM,170,76834,20202
CC,M,10/09/2000 12:00:00 AM,170,76834,20202
CC,F,05/30/2001 12:00:00 AM,170,76834,20202
TI,F,10/16/2003 12:00:00 AM,170,76834,20202
TI,F,10/18/2003 12:00:00 AM,170,76834,20202
TI,M,07/29/2003 12:00:00 AM,170,76834,20202
CC,F,04/02/2000 12:00:00 AM,170,76834,20202
CC,M,03/17/2000 12:00:00 AM,170,76834,20202
CC,F,07/25/2000 12:00:00 AM,170,76834,20202
CC,F,07/29/2000 12:00:00 AM,170,76834,20202
CC,M,02/16/2000 12:00:00 AM,170,76834,20202
CC,F,07/26/2001 12:00:00 AM,170,76834,20202
CC,F,12/03/2001 12:00:00 AM,170,76834,20202
TI,M,10/25/2003 12:00:00 AM,170,76834,20202
CC,M,02/23/2003 12:00:00 AM,170,76834,20202
CC,F,02/27/2003 12:00:00 AM,170,76834,20202
CC,F,01/07/2003 12:00:00 AM,170,76834,20202
CC,F,01/26/2003 12:00:00 AM,170,76834,20202
CC,F,01/15/2003 12:00:00 AM,170,76834,20202
CC,F,12/08/2001 12:00:00 AM,170,76834,20202
CC,F,10/31/2001 12:00:00 AM,170,76834,20202
CC,F,01/07/2002 12:00:00 AM,170,76834,20202
CC,F,02/04/2002 12:00:00 AM,170,76834,20202
CC,M,05/28/2002 12:00:00 AM,170,76834,20202
CC,M,10/17/2001 12:00:00 AM,170,76834,20202
CC,M,10/19/2001 12:00:00 AM,170,76834,20202
CC,M,07/25/2002 12:00:00 AM,170,76834,20202
CC,M,07/21/2002 12:00:00 AM,170,76834,20202
TI,F,07/04/2002 12:00:00 AM,170,76834,20202
CC,M,02/24/2003 12:00:00 AM,170,76834,20202
CC,M,12/16/2002 12:00:00 AM,170,76834,20202
CC,F,12/07/2002 12:00:00 AM,170,76834,20202
CC,F,10/05/2002 12:00:00 AM,170,76834,20202
CC,M,11/19/2002 12:00:00 AM,170,76834,20202
TI,M,06/06/2003 12:00:00 AM,170,76834,20202
TI,F,05/19/2003 12:00:00 AM,170,76834,20202
CC,F,06/11/2003 12:00:00 AM,170,76834,20202
TI,M,09/28/2003 12:00:00 AM,170,76834,20202
TI,F,11/11/2003 12:00:00 AM,170,76834,20202
TI,F,10/27/2003 12:00:00 AM,170,76834,20202
TI,F,11/12/2003 12:00:00 AM,170,76834,20202
TI,F,09/20/2003 12:00:00 AM,170,76834,20202
TI,F,09/21/2003 12:00:00 AM,170,76834,20202
TI,M,08/11/2003 12:00:00 AM,170,76834,20202
CC,F,10/02/2001 12:00:00 AM,170,76834,20202
TI,M,08/14/2003 12:00:00 AM,170,76834,20202
TI,M,08/19/2003 12:00:00 AM,170,76834,20202
TI,F,08/05/2003 12:00:00 AM,170,76834,20202
CC,M,11/13/2001 12:00:00 AM,170,76834,20202
CC,M,01/31/2001 12:00:00 AM,170,76834,20202
CC,F,02/23/2003 12:00:00 AM,170,76834,20202
CC,M,04/07/2002 12:00:00 AM,170,18001,20202
TI,F,07/18/2003 12:00:00 AM,170,76895,20202
CC,M,04/15/2001 12:00:00 AM,170,76895,20202
TI,M,08/11/2003 12:00:00 AM,170,76895,20202
CC,F,09/29/2002 12:00:00 AM,170,76895,20202
TI,F,10/25/2003 12:00:00 AM,170,76895,20202
CC,F,12/17/2002 12:00:00 AM,170,86001,20202
CC,M,06/30/2001 12:00:00 AM,170,86568,20202
CC,M,09/22/2002 12:00:00 AM,170,86865,20202
CC,M,07/06/2002 12:00:00 AM,170,19698,20202
CC,M,07/13/2000 12:00:00 AM,170,66682,20202
CC,F,12/12/2000 12:00:00 AM,170,41396,20202
TI,M,04/30/2003 12:00:00 AM,170,76895,20202
CC,F,12/27/2000 12:00:00 AM,170,76147,20202
CC,F,02/24/2001 12:00:00 AM,170,76111,20202
CC,F,04/23/2001 12:00:00 AM,170,76111,20202
CC,F,04/20/2002 12:00:00 AM,170,76250,20202
TI,M,06/22/2003 12:00:00 AM,170,76111,20202
CC,M,03/08/2002 12:00:00 AM,170,76622,20202
TI,F,09/20/2003 12:00:00 AM,170,76248,20202
CC,M,11/29/2001 12:00:00 AM,170,76306,20202
CC,M,10/08/2002 12:00:00 AM,170,76001,20202
CC,F,04/07/2000 12:00:00 AM,170,76122,20202
CC,M,03/01/2003 12:00:00 AM,170,76001,20202
TI,F,07/08/2003 12:00:00 AM,170,76001,20202
TI,F,07/25/2003 12:00:00 AM,170,76001,20202
TI,M,11/28/2003 12:00:00 AM,170,76622,20202
TI,F,12/12/2003 12:00:00 AM,170,76622,20202
