"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Me gusta","Veces que se compartió",Respuestas,"Clics en el enlace",Navegación,"Visitas al perfil","Toques en stickers",Seguimientos
17938204577928185,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Talento TECH es  @helppeoplecloud  @robertposadarosero  @pachogirontulua  Innovación dentro de la formación de habilidades tecnológicas para nuestros jóvenes tulueños ✅🙌🏼",15,"10/30/2024 09:08",,"Historia de Instagram",,Total,850,813,8,1,0,,740,3,,
18023276471531489,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/30/2024 09:19",,"Historia de Instagram",,Total,1864,1528,7,1,0,,830,1,,
18066907573646817,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,22,"10/30/2024 14:56",,"Historia de Instagram",,Total,1039,896,12,1,0,,878,2,,
18025151684451719,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/30/2024 15:34",,"Historia de Instagram",,Total,643,636,7,0,0,,783,2,2,
17904806393966265,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/30/2024 15:34",,"Historia de Instagram",,Total,643,640,6,0,1,,738,,,
17851569537320823,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Ven ahora y disfruta de nuestro Encuentro de trío de cuerdas ¡En este momento! Disfruta de espacio para las familias tulueñas con música del recuerdo ✅🙌🏼",0,"10/30/2024 16:15",,"Historia de Instagram",,Total,808,721,8,0,0,,753,2,,
18032118302522316,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/30/2024 16:36",,"Historia de Instagram",,Total,1381,1220,7,6,2,143,972,2,,
18037168925015747,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/30/2024 19:22",,"Historia de Instagram",,Total,1013,887,7,3,0,67,900,3,,
17873900724198444,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Mira la nota completa aquí: ¡Caen miembros de La Inmaculada!",55,"10/31/2024 06:11",,"Historia de Instagram",,Total,651,632,7,2,0,13,761,1,,
18326498203154770,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/31/2024 06:14",,"Historia de Instagram",,Total,611,605,7,0,0,,667,,,
