Registro,Dispositivo,Año de Nacimiento del encuestado,¿Conoce qué hace la institución INFITULUA?,¿Cuáles de estos servicios ha utilizado? ,¿Cómo calificaría los servicios de Infitulua si los ha utilizado recientemente?,Duración
2024-04-26 00:44:38,phone,02 02 1980,"Sé que existe, pero no sé qué hace",Ninguno,No he utilizado los servicios,01:56
2024-04-25 23:19:51,phone,1994,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Regulares,01:01
2024-04-25 22:49:08,phone,1988,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de Urbanización Terranova, Cliente de Urbanización Gualanday, Cliente de La Galeria",Muy buenos,00:28
2024-04-25 20:52:07,phone,1995,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza",Muy buenos,00:26
2024-04-25 20:40:49,phone,3 julio 95,"Sé que existe, pero no sé qué hace","Cliente del Bicentenario, Cliente Nuevo Centro Comercial Pabellón",No he utilizado los servicios,01:40
2024-04-25 20:19:40,phone,27 08 1986,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de Urbanización Terranova, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Regulares,01:14
2024-04-25 19:35:14,phone,21 de febrero 2004,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de La Galeria",No he utilizado los servicios,01:01
2024-04-25 19:16:17,phone,2000,"Si, lo sé muy bien",Ninguno,No he utilizado los servicios,00:36
2024-04-25 19:11:56,phone,1977,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria",Regulares,22:54
2024-04-25 19:08:09,phone,1997,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Malos,00:49
2024-04-25 18:33:49,phone,1972,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de Urbanización Terranova, Cliente de La Galeria",Muy buenos,01:21
2024-04-25 18:11:33,phone,1981,"Si, lo sé muy bien",Ninguno,Buenos,00:29
2024-04-19 00:10:27,phone,1983,"Si, lo sé muy bien",Cliente nueva Terminal de Transportes,Buenos,00:43
2024-04-18 11:21:30,phone,1970,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria",No he utilizado los servicios,01:11
2024-04-17 23:42:04,phone,1986,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria",Muy buenos,00:56
2024-04-17 17:30:00,phone,1976,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente Nuevo Centro Comercial Pabellón",Muy buenos,00:47
2024-04-17 16:07:18,computer,1996,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de Urbanización Terranova, Cliente de Urbanización Gualanday, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Muy buenos,00:53
2024-04-17 15:58:59,phone,1973,"Si, lo sé muy bien",Cliente de Urbanización Gualanday,Buenos,01:39
2024-04-17 15:56:33,phone,2003,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Muy buenos,02:56
2024-04-17 15:55:27,phone,26/05/1989,"Si, lo sé muy bien",Ninguno,Muy buenos,00:38
